GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SpringCore-exam-choigyemjun,com.nhnacademy.exam.main.report,DefaultResultReport,0,23,0,2,0,6,0,3,0,2
SpringCore-exam-choigyemjun,com.nhnacademy.exam.main.service.material,WaterBillFinderAboutSection,0,46,0,6,0,12,0,6,0,3
SpringCore-exam-choigyemjun,com.nhnacademy.exam.main.service.parser,JsonDataParser.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
SpringCore-exam-choigyemjun,com.nhnacademy.exam.main.service.parser,CsvDataParser,4,90,0,4,2,23,0,4,0,2
SpringCore-exam-choigyemjun,com.nhnacademy.exam.main.service.parser,JsonDataParser,4,38,0,0,2,10,0,2,0,2
SpringCore-exam-choigyemjun,com.nhnacademy.exam.main.aspect,ElapseAspect,0,31,0,0,0,7,0,2,0,2
SpringCore-exam-choigyemjun,com.nhnacademy.exam.main.aspect,ExceptionAspect,0,16,0,2,0,6,0,3,0,2
SpringCore-exam-choigyemjun,com.nhnacademy.exam.main.config,MainConfig,0,3,0,0,0,1,0,1,0,1
SpringCore-exam-choigyemjun,com.nhnacademy.exam.main.info,WaterBill,42,124,8,14,3,28,9,14,1,11
SpringCore-exam-choigyemjun,com.nhnacademy.exam.main.service.calculate,DefaultPaymentCalculationService,0,68,1,3,0,22,1,6,0,5
SpringCore-exam-choigyemjun,com.nhnacademy.exam.main.repository,DefaultWaterBillRepository,0,97,0,6,0,25,0,9,0,6
SpringCore-exam-choigyemjun,com.nhnacademy.exam.main,BootStrap,49,0,0,0,15,0,3,0,3,0
